genreId,genreName
0,Action
1,Adventure
2,Animation
3,Biography
4,Comedy
5,Crime
6,Drama
7,Family
8,Fantasy
9,Film-Noir
10,History
11,Horror
12,Music
13,Musical
14,Mystery
15,Romance
16,Sci-Fi
17,Sport
18,Thriller
19,War
20,Western
